stem,freq,rank,best_lang,best_form,best_gloss,best_cat,confidence,syriac_skel,syriac_reading,status
ai,22,55,occitan,en,in,FUNC,0.95,,-,matched
lshed,22,56,latin,vinum,wine,LIQ,1.0,lsd,-,matched
ed,22,57,syriac,d,d-,SYR,0.9,d,d-,matched
checkh,21,58,latin,cortex,bark,ING,1.0,kkk,-,matched
lche,21,59,occitan,lach,milk,LIQ,1.0,lk,l-ki-,matched
shckh,21,60,latin,pasta,paste,PREP,1.0,skk,-,matched
olked,21,61,latin,oleum,oil,LIQ,1.0,lkd,-,matched
oteed,21,62,occitan,enguent,ointment,PREP,0.75,td,-,matched
qotai,21,63,latin,caput,head,ANAT,1.0,wt,-,matched
ch,20,64,occitan,vi,wine,LIQ,1.0,k,ki-,matched
sheckh,20,65,latin,succus,juice,ING,1.0,skk,-,matched
keed,19,66,latin,decoctio,decoction,PREP,0.75,kd,-,matched
olkee,19,67,occitan,estomac,stomach,ANAT,0.75,lk,l-ki-,matched
sho,19,68,latin,mel,honey,LIQ,1.0,s,-,matched
dshed,18,69,occitan,peitz,chest,ANAT,1.0,dsd,-,matched
ot,18,70,-,-,-,-,0.0,t,-,unmatched
shek,18,71,latin,stomachus,stomach,ANAT,0.75,sk,-,matched
ked,18,72,latin,lac,milk,LIQ,1.0,kd,-,matched
checth,17,73,latin,pulvis,powder,ING,1.0,ktk,-,matched
olkeed,17,74,latin,acetum,vinegar,LIQ,1.0,lkd,-,matched
kai,16,75,occitan,jus,juice,ING,1.0,k,ki-,matched
olshed,16,76,latin,oculus,eye,ANAT,1.0,lsd,-,matched
oto,16,77,occitan,oli,oil,LIQ,1.0,t,-,matched
otee,16,78,latin,aqua,water,LIQ,1.0,t,-,matched
sh,15,79,occitan,li,the-pl,FUNC,0.8,s,-,matched
okee,15,80,occitan,aiga,water,LIQ,1.0,k,ki-,matched
ro,14,81,-,-,-,-,0.0,r,-,unmatched
ote,14,82,-,-,-,-,0.0,t,-,unmatched
olche,14,83,-,-,-,-,0.0,lk,l-ki-,unmatched
cho,14,84,occitan,mel,honey,LIQ,1.0,k,ki-,matched
ok,13,85,syriac,k,ki-,SYR,0.9,k,ki-,matched
cheda,13,86,occitan,razitz,root,ING,0.85,kd,-,matched
opched,13,87,occitan,semens,seed,ING,0.85,pkd,-,matched
ra,13,88,-,-,-,-,0.0,r,-,unmatched
qotaii,13,89,latin,pilula,pill,PREP,1.0,wt,-,matched
olk,13,90,-,-,-,-,0.0,lk,l-ki-,unmatched
olka,12,91,occitan,uelh,eye,ANAT,1.0,lk,l-ki-,matched
cha,12,92,occitan,cap,head,ANAT,1.0,k,ki-,matched
old,12,93,-,-,-,-,0.0,ld,l-d-,unmatched
oko,12,94,syriac,k,ki-,SYR,0.9,k,ki-,matched
otaii,12,95,-,-,-,-,0.0,t,-,unmatched
raii,12,96,-,-,-,-,0.0,r,-,unmatched
oke,11,97,syriac,k,ki-,SYR,0.9,k,ki-,matched
sha,11,98,occitan,sec,dry,QUAL,0.85,s,-,matched
shecth,11,99,latin,corpus,body,ANAT,1.0,stk,-,matched
chek,11,100,-,-,-,-,0.0,kk,-,unmatched
shcth,11,101,occitan,frucha,fruit,ING,0.85,stk,-,matched
ka,10,102,syriac,k,ki-,SYR,0.9,k,ki-,matched
